StateCode,	Division,	Year	,	Month,	PCP,	TAVG,	PDSI,	PHDI,	ZNDX,	PMDI,	CDD,	HDD,	SP01,	SP02,	SP03,	SP06,	SP09,	SP12,	SP24,	TMIN,	TMAX,
04,	00,	1950	,	01,	5.39,	37.6,	-2.06,	-2.06,	1.02,	-1.56,	0,	732,	.61,	-.01,	-.25,	-.57,	-.54,	-.64,	-.69,	28.2,	47,
04,	00,	1950	,	02,	2.71,	46.2,	-2.09,	-2.09,	-.72,	-1.84,	0,	464,	-.28,	.22,	-.24,	-.69,	-.79,	-.65,	-.54,	34.7,	57.8,
04,	00,	1950	,	03,	2.85,	48.4,	-1.94,	-1.94,	-.22,	-1.72,	1,	462,	.05,	-.27,	.12,	-.57,	-.68,	-.92,	-.62,	36.7,	60,
04,	00,	1950	,	04,	1.34,	56.3,	-1.99,	-1.99,	-.74,	-1.99,	13,	282,	-.05,	-.05,	-.34,	-.42,	-.66,	-.63,	-.96,	42.7,	69.9,
04,	00,	1950	,	05,	.63,	60.9,	-1.85,	-1.85,	-.21,	-1.85,	21,	216,	-.2,	-.27,	-.17,	-.32,	-.69,	-.78,	-1.06,	46.6,	75.2,
04,	00,	1950	,	06,	.34,	67,	-1.67,	-1.67,	-.03,	-1.62,	64,	90,	.22,	-.19,	-.27,	.01,	-.61,	-.72,	-1.1,	52.2,	81.8,
04,	00,	1950	,	07,	.24,	75.8,	-1.4,	-1.4,	.3,	-1.13,	230,	2,	.67,	.35,	-.09,	-.37,	-.43,	-.68,	-1.1,	60.8,	90.8,
04,	00,	1950	,	08,	.07,	74.4,	-1.51,	-1.51,	-.77,	-1.51,	192,	8,	-.99,	-.26,	-.19,	-.19,	-.32,	-.7,	-1.11,	58.2,	90.7,
04,	00,	1950	,	09,	.51,	67.7,	.08,	-1.28,	.24,	-1.07,	90,	48,	.52,	.06,	.16,	-.25,	.02,	-.61,	-1.09,	54,	81.4,
04,	00,	1950	,	10,	3.41,	61.4,	1.35,	1.35,	3.83,	1.35,	40,	128,	1.91,	1.98,	1.84,	1.62,	.21,	-.05,	-.74,	48.2,	74.5,
04,	00,	1950	,	11,	4.24,	53.6,	1.8,	1.8,	1.78,	1.8,	8,	266,	1.06,	1.73,	1.76,	1.7,	.96,	.34,	-.37,	42.8,	64.4,
04,	00,	1950	,	12,	4.21,	48.2,	1.75,	1.75,	.4,	1.75,	0,	417,	.37,	.77,	1.31,	1.31,	1.09,	.7,	-.33,	39.1,	57.4,
04,	00,	1951	,	01,	4.09,	42.2,	1.85,	1.85,	.83,	1.85,	0,	599,	.17,	.26,	.57,	.99,	.93,	.51,	-.17,	33.1,	51.3,
04,	00,	1951	,	02,	2.54,	44.5,	-.26,	1.4,	-.77,	.96,	0,	511,	-.36,	-.18,	-.04,	.71,	.68,	.46,	-.15,	34.1,	54.8,
04,	00,	1951	,	03,	1.17,	48.1,	-.99,	-.99,	-2.29,	-.99,	0,	464,	-1.1,	-.99,	-.64,	.32,	.33,	.21,	-.53,	35.4,	60.7,
04,	00,	1951	,	04,	1.6,	55.1,	-.96,	-.96,	-.2,	-.96,	4,	330,	.2,	-.81,	-.89,	-.05,	.3,	.26,	-.36,	42.7,	67.4,
04,	00,	1951	,	05,	1.02,	61.3,	-.63,	-.63,	.67,	-.63,	26,	190,	.44,	.25,	-.69,	-.35,	.35,	.33,	-.39,	47.9,	74.8,
04,	00,	1951	,	06,	.07,	68.5,	-.53,	-.53,	.13,	-.53,	75,	76,	-1.06,	0,	.03,	-.61,	.29,	.3,	-.38,	53.5,	83.5,
04,	00,	1951	,	07,	.15,	74.7,	-.49,	-.49,	-.06,	-.49,	206,	6,	-.02,	-.99,	-.04,	-.92,	-.07,	.28,	-.38,	59.1,	90.3,
04,	00,	1951	,	08,	.35,	73.1,	-.33,	-.33,	.35,	-.33,	175,	11,	.78,	.56,	-.42,	-.76,	-.38,	.33,	-.34,	57.8,	88.5,
04,	00,	1951	,	09,	.15,	70.7,	-.63,	-.63,	-1,	-.63,	142,	22,	-.66,	-.14,	-.23,	-.09,	-.65,	.27,	-.35,	54.9,	86.4,
04,	00,	1951	,	10,	1.85,	58.6,	.41,	.41,	1.23,	.41,	21,	170,	.78,	.45,	.54,	.28,	-.69,	.01,	-.15,	45.5,	71.7,
